RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
970,15605926,Sinclair,649.0,Germany,Male,70.0,9,116854.71,2,0,1,107125.79,0
7781,15677387,Folliero,749.0,Germany,Female,33.0,10,76692.22,1,0,1,30396.43,0
2579,15704629,Wright,582.0,France,Female,32.0,1,116409.55,1,0,1,152790.92,0
8786,15801293,Ni,850.0,Germany,Male,27.0,1,101278.25,2,1,1,26265.18,0
2688,15679148,Oliver,508.0,France,Male,44.0,3,115451.05,2,0,0,67234.33,0
6095,15575623,Simpson,589.0,France,Female,31.0,10,110635.32,1,1,0,148218.86,0
1342,15609824,Fedorov,794.0,France,Female,205.0,7,176845.41,3,1,0,166526.26,1
8102,15588955,Mazzi,581.0,Germany,Female,43.0,5,93259.57,3,1,0,141035.65,1
8726,15703394,Hawes,633.0,Spain,Male,27.0,3,0.0,2,1,0,44008.91,0
6392,15784099,Clark,726.0,France,Female,38.0,5,126875.62,1,1,0,128052.29,0
6420,15767804,Feng,729.0,France,Male,44.0,6,0.0,2,1,0,151733.43,0
601,15683503,Hudson,601.0,France,Female,43.0,8,0.0,3,0,1,110916.15,1
2555,15739357,Moss,756.0,Spain,Male,30.0,2,145127.85,1,0,0,7554.68,0
9233,15635364,Gray,618.0,France,Female,49.0,9,44301.43,3,1,1,89729.3,1
6695,15576706,Ajuluchukwu,651.0,Germany,Male,37.0,9,114453.58,1,0,1,175820.91,0
1781,15601008,Stevenson,802.0,France,Male,33.0,8,0.0,2,1,0,143706.18,0
4656,15716041,Chinomso,622.0,Spain,Male,39.0,9,0.0,2,0,1,100862.36,0
7510,15657228,Anderson,545.0,Germany,Male,37.0,9,95829.13,2,0,1,734558.16,0
9154,15636977,Trevisan,507.0,Germany,Male,36.0,9,118214.32,3,1,0,119110.03,1
3907,15674343,Esposito,597.0,France,Male,44.0,8,78128.13,2,0,1,109153.04,0
4222,15621064,Russell,701.0,Germany,Male,23.0,5,186101.18,2,1,1,76611.33,0
9308,15680405,P'eng,685.0,France,Male,40.0,2,168001.34,2,1,1,167400.29,0
7029,15618410,Murray,718.0,Germany,Male,26.0,7,147527.03,1,0,0,51099.56,0
2766,15733876,Schneider,667.0,France,Male,36.0,9,0.0,2,1,1,40062.29,0
7041,15655658,Bulgakov,678.0,France,Female,48.0,2,0.0,2,1,1,32301.88,0
7191,15774262,Hobson,597.0,Germany,Male,52.0,8,83693.34,2,1,1,161083.53,0
6208,15665811,Parry,644.0,France,Male,33.0,9,141234.98,1,1,0,95673.05,0
193,15756850,Golovanov,479.0,France,Male,40.0,1,0.0,2,0,0,114996.43,0
7767,15647259,Barnett,643.0,Spain,Male,35.0,2,0.0,2,0,0,67979.35,0
8766,15791452,Dann,675.0,France,Male,39.0,1,0.0,2,1,0,153129.22,0
818,15806438,Chiabuotu,580.0,Germany,Female,42.0,2,123331.36,1,0,0,103516.08,1
413,15686302,Fisk,745.0,Spain,Female,31.0,3,124328.84,1,1,1,140451.52,0
4715,15611024,Kalinina,567.0,France,Female,23.0,9,93522.2,1,0,1,81425.61,0
321,15810834,Gordon,525.0,Spain,Female,57.0,2,145965.33,1,1,1,64448.36,0
241,15812009,Grant,662.0,Spain,Male,38.0,4,0.0,2,1,0,136259.65,0
1048,15793949,Cheng,726.0,France,Female,48.0,4,0.0,1,1,0,114020.06,1
3565,15803121,Chia,847.0,France,Male,51.0,5,97565.74,1,0,0,144184.06,1
1199,15678058,Ayers,584.0,France,Male,38.0,9,104584.16,1,1,0,176678.72,0
258,15592979,Rose,,Germany,Female,34.0,6,37266.67,2,0,0,156917.12,0
4760,15709222,Chukwueloka,557.0,Spain,Male,34.0,3,0.0,1,0,1,123427.98,0
6939,15698324,Azikiwe,725.0,France,Female,33.0,4,0.0,1,1,1,67879.8,0
7045,15738487,Leworthy,678.0,France,Male,26.0,3,0.0,2,1,0,4989.33,0
9605,15687363,McMillan,770.0,France,Male,31.0,3,155047.56,2,1,1,186064.34,0
5536,15694444,Buttenshaw,648.0,Germany,Female,32.0,8,157138.99,3,1,0,190994.48,1
5537,15795878,Anayochukwu,636.0,Spain,Male,45.0,3,0.0,2,1,1,159463.8,0
6263,15650026,Barclay-Harvey,513.0,France,Male,44.0,1,63562.02,2,0,1,52629.73,1
7386,15660144,Balashov,660.0,France,Male,38.0,4,0.0,2,0,0,88080.43,0
9279,15584580,Fyodorova,443.0,France,Male,35.0,6,161111.45,1,0,0,13946.66,0
7675,15660871,Ch'ang,665.0,France,Male,28.0,8,137300.23,1,1,0,90174.83,0
7785,15756299,Davis,5928.0,France,Female,12.8,2,69311.16,1,1,1,59237.72,0
3297,15755018,Dickinson,568.0,Germany,Female,26.0,10,109819.16,2,1,0,154491.39,0
1183,15755638,Mancini,673.0,France,Female,43.0,5,168069.73,1,1,1,146992.24,1
4114,15667085,Meng,667.0,France,Male,33.0,4,0.0,2,1,1,131834.75,0
2125,15603851,Galkin,704.0,France,Male,32.0,7,127785.17,4,0,0,184464.7,1
2320,15681446,Sun,636.0,Germany,Female,37.0,9,157098.52,1,1,1,153535.27,0
7953,15622305,Martin,746.0,Germany,Female,33.0,2,107868.14,2,1,1,146192.4,0
3285,15724150,Nkemdirim,814.0,France,Male,48.0,9,136596.85,1,1,1,185791.9,0
6086,15596992,Norris,482.0,Germany,Male,45.0,7,156353.46,1,1,0,,1
5590,15588372,Kirsova,715.0,Germany,Female,37.0,9,105489.31,1,0,0,143096.49,1
8181,15643378,Muir,744.0,France,Male,42.0,1,112419.92,1,1,1,83022.92,0
1870,15597909,Johnstone,652.0,Germany,Male,33.0,7,128135.99,1,1,0,158437.73,0
4244,15622518,Stephenson,768.0,France,Female,26.0,5,51116.26,1,1,1,70454.79,1
4437,15664498,Golovanov,508.0,France,Male,26.0,7,205962.0,1,1,0,156424.4,0
5349,15720511,Byrne,547.0,Germany,Male,41.0,3,151191.31,1,1,0,175295.89,1
6146,15653065,Nwabugwu,530.0,Spain,Female,22.0,7,0.0,2,1,0,104170.48,0
4245,15684908,Davidson,540.0,Germany,Male,64.0,1,91869.69,1,0,1,95421.0,0
